
--- Σελίδα 1 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Α΄ |  |  | 1ο Ε ξ ά μ η ν ο (6 Μαθήματα) |  |  |  |  |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 23 | 12 | 6 | 10 |

--- Σελίδα 13 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Ε΄ |  |  | 9ο Ε ξ ά μ η ν ο (6 Μαθήματα) 4(Υ)+2(Ο ) ή 4(Υ)+1(Ο )+1(Ο ) 1 1 2 |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ (Υ) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Προστασία Συστημάτων Ηλεκτρικής Ενέργειας |  | 6 | 4 | 2 | 1 | 2 |
| 2 | Ανάλυση Σφαλμάτων και Μεταβατικών Καταστάσεων στα Συστήματα Ηλεκτρικής Ενέργειας |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Υψηλές Τάσεις ΙΙ |  | 6 | 4 | 2 | 1 | 2 |
| 4 | Ανανεώσιμες Πηγές Ενέργειας |  | 6 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 24 | 16 | 8 | 4 | 8 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ - ΟΜΑΔΑ 1 (Ο ) 1 1 έως 2 ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Έλεγχος και Ευστάθεια Συστημάτων Ηλεκτρικής Ενέργειας |  | 3 | 3 | 2 | 1 | 0 |
| 2 | Εναλλακτικά Συστήματα Μετατροπής Ενέργειας |  | 3 | 3 | 2 | 1 | 0 |
| 3 | Ειδικές Εφαρμογές Ηλεκτρονικών Ισχύος |  | 4 | 4 | 2 | 1 | 2 |
| 4 | Μοντελοποίηση / Έλεγχος Μεμονωμένων και Υβριδικών Συστημάτων Ηλεκτροπαραγωγής |  | 3 | 3 | 2 | 1 | 0 |
| 5 | Σχεδιασμός Ηλεκτρικών Μηχανών |  | 3 | 3 | 2 | 1 | 0 |
| 6 | Οργάνωση και Διοίκηση Έργων |  | 4 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ - ΟΜΑΔΑ 2 (Ο ) 2 έως 1 ΜΑΘΗΜΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Βιοϊατρική Τεχνολογία |  | 4 | 3 | 2 | 1 | 0 |
| 2 | Οποιοδήποτε υποχρεωτικό μάθημα του 9ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 4 ή 6 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Πρακτική Άσκηση |  | 3 | 0 | 0 | 0 | 0 |
| 2 | Ειδικά Θέματα Αγγλικής Ορολογίας |  | 3 | 3 | 3 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 28 | 16 | 7 | 8 |

--- Σελίδα 14 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Ε΄ |  |  | 9ο Ε ξ ά μ η ν ο (6 Μαθήματα) 3(Υ)+3(Ο ) ή 3(Υ)+2(Ο )+1(Ο ) 1 1 2 |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ (Υ) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Σχεδιασμός Ενσωματωμένων Συστημάτων |  | 6 | 4 | 2 | 1 | 2 |
| 2 | Κβαντικοί Υπολογιστές |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Ρομποτική |  | 6 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 18 | 12 | 6 | 3 | 6 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ - ΟΜΑΔΑ 1 (Ο ) 1 2 έως 3 ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Αναγνώριση Προτύπων |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Ειδικά Θέματα Συστημάτων Αυτομάτου Ελέγχου |  | 4 | 4 | 2 | 1 | 2 |
| 3 | Σύνθεση υψηλού επιπέδου για τη σχεδίαση ψηφιακών ολοκληρωμένων κυκλωμάτων |  | 4 | 4 | 2 | 1 | 2 |
| 4 | Ασφάλεια Συστημάτων Υπολογιστών |  | 4 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ - ΟΜΑΔΑ 2 (Ο ) 2 έως 1 ΜΑΘΗΜΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Παράλληλοι Αλγόριθμοι και Υπολογιστική Πολυπλοκότητα |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Βιοϊατρική Τεχνολογία |  | 4 | 3 | 2 | 1 | 0 |
| 3 | Οργάνωση και Διοίκηση Έργων |  | 4 | 4 | 2 | 1 | 2 |
| 4 | Κωδικοποίηση και Διόρθωση Σφαλμάτων |  | 4 | 3 | 2 | 1 | 0 |
| 5 | Οποιοδήποτε υποχρεωτικό μάθημα του 9ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 4 ή 6 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Πρακτική Άσκηση |  | 3 | 0 | 0 | 0 | 0 |
| 2 | Ειδικά Θέματα Αγγλικής Ορολογίας |  | 3 | 3 | 3 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 26,5 | 16 | 6 | 8 |

--- Σελίδα 15 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Ε΄ |  |  | 9ο Ε ξ ά μ η ν ο (6 Μαθήματα) 4(Υ)+2(Ο ) ή 4(Υ)+1(Ο )+1(Ο ) 1 1 2 |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  |  |  |  |  |  |  |
|  |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ (Υ) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Κινητές Επικοινωνίες |  | 6 | 4 | 2 | 1 | 2 |
| 2 | Οπτικές Τηλεπικοινωνίες |  | 6 | 4 | 2 | 1 | 2 |
| 3 | Κωδικοποίηση και Διόρθωση Σφαλμάτων |  | 4 | 3 | 2 | 1 | 0 |
| 4 | Δορυφορικές Επικοινωνίες |  | 6 | 4 | 2 | 1 | 2 |
|  | ΣΥΝΟΛΟ |  | 22 | 15 | 8 | 4 | 6 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ - ΟΜΑΔΑ 1 (Ο ) 1 1 έως 2 ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Συστήματα Ραντάρ |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Βιοϊατρική Τεχνολογία |  | 4 | 3 | 2 | 1 | 0 |
| 3 | Ηλεκτρομαγνητική Συμβατότητα |  | 4 | 3 | 2 | 1 | 0 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ - ΟΜΑΔΑ 2 (Ο ) 2 έως 1 ΜΑΘΗΜΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Αναγνώριση Προτύπων |  | 4 | 4 | 2 | 1 | 2 |
| 2 | Οργάνωση και Διοίκηση Έργων |  | 4 | 4 | 2 | 1 | 2 |
| 3 | Οποιοδήποτε υποχρεωτικό μάθημα του 9ου εξαμήνου των άλλων 2 Κατευθύνσεων Σπουδών |  | 4 ή 6 | 4 | 2 | 1 | 2 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Πρακτική Άσκηση |  | 3 | 0 | 0 | 0 | 0 |
| 2 | Ειδικά Θέματα Αγγλικής Ορολογίας |  | 3 | 3 | 3 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 26 | 16 | 7 | 8 |

--- Σελίδα 16 ---
| Έ τ ο ς Σ π ο υ δ ώ ν Ε΄ |  |  | 10ο Ε ξ ά μ η ν ο |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Κατεύθυνση Σπουδών: |  | Ενεργειακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
|  |  | Ηλεκτρονικού Ηλεκτρολόγου Μηχανικού και Μηχανικού Υπολογιστών |  |  |  |  |  |
|  |  | Τηλεπικοινωνιακού Ηλεκτρολόγου Μηχανικού |  |  |  |  |  |
| Α/Α | ΥΠΟΧΡΕΩΤΙΚΑ ΜΑΘΗΜΑΤΑ |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Εκπόνηση Διπλωματικής Εργασίας |  | 30 | 0 | 0 | 0 | 0 |
|  | ΣΥΝΟΛΟ |  | 30 | 0 | 0 | 0 | 0 |
| Α/Α | ΜΑΘΗΜΑΤΑ ΕΛΕΥΘΕΡΗΣ ΕΠΙΛΟΓΗΣ (Δεν υπολογίζονται στη λήψη του διπλώματος) |  | ECTS | Δ.Μ. | Θεωρία | Ασκήσεις | Εργαστ. |
| 1 | Πρακτική Άσκηση |  | 3 | 0 | 0 | 0 | 0 |
|  | ΕΛΑΧΙΣΤΑ ΣΥΝΟΛΑ |  | 30 | 0 | 0 | 0 | 0 |

--- Σελίδα 17 ---
| Υποχρεωτικά μαθήματα των παλαιών Π.Σ. που καταργήθηκαν, συγχωνεύτηκαν ή μετονομάστηκαν, τα αντίστοιχα του νέου Π.Σ. και οι αντίστοιχοι υπεύθυνοι μαθήματος |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- |
| Πρόγραμμα σπουδών (πριν το ακ. ετ. 2009-2010) |  | Πρόγραμμα σπουδών 2009-2010 |  | Πρόγραμμα σπουδών 2017-2018 |  | Υπεύθυνος μαθήματος |
| Μάθημα | εξάμηνο | Μάθημα | εξάμηνο | Μάθημα | εξάμηνο |  |
| Προγραμματισμός Υπολογιστών Ι (FORTRAN) | 1 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Αραμπατζής |
| Μαθηματική Ανάλυση Ι | 1 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Σχοινάς |
| Γραμμική Άλγεβρα | 1 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Σχοινάς |
| Φυσική ΙΙΙ | 4 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Σαρρής |
| Μικροηλεκτρονική Ι | 5 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Φαρμάκης |
| Στοιχεία Μηχανών | 5 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Μουρούτσος |
| Μικροηλεκτρονική ΙΙ | 6 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Φαρμάκης |
| Ψηφιακά Συστήματα και Υπολογιστές Ι | 6 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Δημητρακόπουλος |
| Ψηφιακά Συστήματα και Υπολογιστές ΙI | 7 |  |  | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Δημητρακόπουλος |
|  |  | Εισαγωγή στην Επιστήμη των Υπολογιστών | 1 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Κατσίρη |
|  |  | Διακριτά Μαθηματικά | 1 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Γραββάνης |
| Φυσική Ι | 1 | Φυσική Ι | 1 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Σαρρής |
| Φυσική ΙΙ | 2 | Φυσική ΙΙ | 2 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Φαρμάκης |
| Διαφορικές Εξισώσεις | 2 | Διαφορικές Εξισώσεις | 2 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Σχοινάς |
| Μιγαδικές Συναρτήσεις και Μετασχηματισμοί | 3 | Μιγαδικές Συναρτήσεις και Μετασχηματισμοί | 3 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Σχοινάς |
| Εφαρμοσμένος Ηλεκτρομαγνητισμός | 5,6 | Εφαρμοσμένη Ηλεκτροδυναμική | 5 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Σαραφόπουλος |
|  |  | Ψηφιακά Συστήματα και Υπολογιστές (μόνο εισαγωγής 2009-10 Ηλεκτρονικοί) | 7 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Δημητρακόπουλος |
| Θεωρία Πληροφοριών, Κωδίκων και Κρυπτογραφία | 7 | Θεωρία Πληροφοριών, Κωδίκων και Κρυπτογραφία | 9 | Δεν υπάρχει αντιστοιχο - Εξέταση σε συννενόηση με τον διδάσκοντα | - | Κουκουρλής |
| Τεχνικό Σχέδιο | 1,2 | Τεχνικές Σχεδίασης με Υπολογιστή | 1 | Τεχνικό Σχέδιο | 1 | Μουρούτσος |
| Δομημένος Προγραμματισμός Υπολογιστών Ι ( C ) | 2 | Τεχνικές Προγραμματισμού | 2 | Δομημένος Προγραμματισμός | 1 | Κατσίρη |
| Εισαγωγή στην Επιστήμη των Υλικών | 4 | Τεχνολογία Ηλεκτροτεχνικών και Ηλεκτρονικών Υλικών | 2 | Επιστήμη Υλικών | 2 | Φαρμάκης |
| Εισαγωγή στις Ηλεκτρικές Μετρήσεις | 2 | Εισαγωγή στις Ηλεκτρικές Μετρήσεις | 2 | Ηλεκτρικές Μετρήσεις | 1 | Πρατικάκης |
|  |  | Δομές Δεδομένων | 5 | Αλγόριθμοι και Δομές Δεδομένων | 3 | Εφραιμίδης |
| Δυναμική Ηλεκτρικών Μηχανών | 7 | Συστήματα Ηλεκτρικών Μηχανών για Κίνηση και Ηλεκτροπαραγωγή Ι | 7 | Συστήματα Ηλεκτρικών Μηχανών για Κίνηση και Ηλεκτροπαραγωγή Ι | 7 | Καρλής |
| Ηλεκτρικά Κυκλώματα ΙΙΙ | 5 | Σήματα και Συστήματα | 5 | Σήματα και Συστήματα | 5 | Πρατικάκης |
| Ηλεκτρονικά Ισχύος Ι | 6 | Βασικές Αρχές Ηλεκτρονικών Ισχύος | 6 | Βασικές Αρχές Ηλεκτρονικών Ισχύος | 6 | Παπανικολάου |
| Ηλεκτρονικά Ισχύος ΙΙ | 7 | Ηλεκτρονικά Ισχύος και Εφαρμογές Ι | 7 | Ανάλυση Ηλεκτρονικών Μετατροπέων Ισχύος Σ.Τ./Σ.Τ. | 7 | Παπανικολάου |
| Ηλεκτρονική Ι | 4 | Σχεδιασμός Ηλεκτρονικών Κυκλωμάτων | 3 | Σχεδιασμός Ηλεκτρονικών Κυκλωμάτων | 3 | Ανδρεάδης |
| Ηλεκτρονική ΙΙ | 5 | Σχεδίαση Ψηφιακών Συστημάτων | 4 | Σχεδίαση Ψηφιακών Συστημάτων | 4 | Λυγούρας |
| Ηλεκτρονική ΙΙΙ | 6 | Αναλογικά Ηλεκτρονικά Κυκλώματα | 5 | Αναλογικά Ηλεκτρονικά Κυκλώματα | 5 | Λυγούρας |
| Μαθηματική Ανάλυση ΙΙ | 2 | Λογισμός Πολλών Μεταβλητών | 2 | Λογισμός Πολλών Μεταβλητών | 2 | Σχοινάς |
| Συστήματα VLSI I | 8 | Ολοκληρωμένα Κυκλώματα | 7 | Ολοκληρωμένα Κυκλώματα | 7 | Δημητρακόπουλος |
| Συστήματα Αυτομάτου Ελέγχου Ι | 5 | Συστήματα Αυτομάτου Ελέγχου | 6 | Συστήματα Αυτομάτου Ελέγχου | 6 | Κοσματόπουλος |
| Συστήματα Αυτομάτου Ελέγχου ΙΙ | 6 | Σύγχρονος Αυτόματος Έλεγχος | 7 | Σύγχρονος Αυτόματος Έλεγχος | 7 | Κοσματόπουλος |
| Δίκτυα Υπολογιστών Ι | 7 | Δίκτυα Υπολογιστών Ι | 7 | Δίκτυα | 6 | Τσαουσίδης |
| Δίκτυα Υπολογιστών ΙΙ | 8 | Δίκτυα Υπολογιστών ΙΙ | 8 | Δίκτυα Υπολογιστών | 7 | Τσαουσίδης |
| Συστήματα Ηλεκτρικής Ενέργειας Ι | 7 | Συστήματα Ηλεκτρικής Ενέργειας Ι | 8 | Μεταφορά και Διανομή Ηλεκτρικής Ενέργειας | 8 | Παπαδόπουλος |
| Συστήματα Ηλεκτρικής Ενέργειας ΙΙ | 8 | Ηλεκτρικά Δίκτυα Καταναλωτών | 6 | Ηλεκτρικά Δίκτυα Καταναλωτών | 6 | Νικολαΐδης |
| Συστήματα Ηλεκτρικής Ενέργειας ΙΙΙ | 9 | Συστήματα Ηλεκτρικής Ενέργειας ΙΙ | 9 | Ανάλυση Σφαλμάτων και Μεταβατικών Καταστάσεων στα Συστήματα Ηλεκτρικής Ενέργειας | 9 | Παπαδόπουλος |
| Συστήματα Ηλεκτρικής Κίνησης | 8 | Συστήματα Ηλεκτρικών Μηχανών για Κίνηση και Ηλεκτροπαραγωγή ΙΙ | 8 | Συστήματα Ηλεκτρικών Μηχανών για Κίνηση και Ηλεκτροπαραγωγή ΙΙ | 8 | Καρλής |
| Τηλεπικοινωνιακά Συστήματα Ι | 7 | Αρχές Τηλεπικοινωνιακών Συστημάτων | 6 | Αρχές Τηλεπικοινωνιακών Συστημάτων | 6 | Κουκουρλής |
| Τηλεπικοινωνιακά Συστήματα ΙΙ | 8 | Ψηφιακά Τηλεπικοινωνιακά Συστήματα | 7 | Ψηφιακά Τηλεπικοινωνιακά Συστήματα | 7 | Κουκουρλής |
